Time,REER_pos,REER_neg
2011-01-01,,
2011-04-01,0.0,-4.984299457788666e-05
2011-07-01,0.0,-0.04774901372878837
2011-10-01,0.0,-0.1216720144118213
2012-01-01,0.058141449906199405,-0.1216720144118213
2012-04-01,0.058141449906199405,-0.16592221700430088
2012-07-01,0.0967993925049715,-0.16592221700430088
2012-10-01,0.11848683037546426,-0.16592221700430088
2013-01-01,0.1516912993140549,-0.16592221700430088
2013-04-01,0.17163765426145172,-0.16592221700430088
2013-07-01,0.17163765426145172,-0.20053577316500437
2013-10-01,0.1738412577872257,-0.20053577316500437
2014-01-01,0.17524799758056453,-0.20053577316500437
2014-04-01,0.1833175871081245,-0.20053577316500437
2014-07-01,0.1833175871081245,-0.20195658834287755
2014-10-01,0.1833175871081245,-0.21759130249027958
2015-01-01,0.1833175871081245,-0.26104947876585083
2015-04-01,0.1833175871081245,-0.29607923406904035
2015-07-01,0.1833175871081245,-0.3522765335985403
2015-10-01,0.18617578426569636,-0.3522765335985403
2016-01-01,0.18617578426569636,-0.4117708140878058
2016-04-01,0.18617578426569636,-0.4377430133853961
2016-07-01,0.18617578426569636,-0.4693573207440789
2016-10-01,0.18617578426569636,-0.49723053436581743
2017-01-01,0.18695779134361157,-0.49723053436581743
2017-04-01,0.2715730474829172,-0.49723053436581743
2017-07-01,0.3027487154029087,-0.49723053436581743
2017-10-01,0.3027487154029087,-0.5457316529813223
2018-01-01,0.3065861525209135,-0.5457316529813223
2018-04-01,0.3065861525209135,-0.5773741642677743
2018-07-01,0.35642124886483906,-0.5773741642677743
2018-10-01,0.35642124886483906,-0.5984513819501576
2019-01-01,0.38964004950376463,-0.5984513819501576
2019-04-01,0.3897935767935419,-0.5984513819501576
2019-07-01,0.3897935767935419,-0.6076740071203215
2019-10-01,0.40827623482097675,-0.6076740071203215
2020-01-01,0.40827623482097675,-0.6289494429823321
2020-04-01,0.40827623482097675,-0.7751097986262065
2020-07-01,0.4515623730054621,-0.7751097986262065
2020-10-01,0.5164022091701721,-0.7751097986262065
2021-01-01,0.5257515246729634,-0.7751097986262065
2021-04-01,0.5451960539486844,-0.7751097986262065
2021-07-01,0.5536283337682759,-0.7751097986262065
2021-10-01,0.5536283337682759,-0.7967066017460374
2022-01-01,0.5709554219571826,-0.7967066017460374
2022-04-01,0.6134226361632624,-0.7967066017460374
2022-07-01,0.63600524342848,-0.7967066017460374
2022-10-01,0.6856729855392718,-0.7967066017460374
