Time,TiVA_DVA_ANN,REER (Real - Broad)
2011-01-01,58945.85742210296,133.75666666666666
2011-04-01,63405.20967708361,133.75
2011-07-01,64077.53031327218,127.52
2011-10-01,70794.94946254128,118.43333333333334
2012-01-01,62904.65747171453,125.52333333333333
2012-04-01,67548.8388903784,120.08999999999999
2012-07-01,66627.21047146941,124.82333333333334
2012-10-01,73505.41816643765,127.56
2013-01-01,65395.3192242097,131.86666666666667
2013-04-01,70827.33795569325,134.52333333333334
2013-07-01,67058.37236265691,129.94666666666666
2013-10-01,71404.28295744013,130.23333333333332
2014-01-01,70054.16687230281,130.41666666666666
2014-04-01,73821.42030436256,131.47333333333333
2014-07-01,71355.17417607135,131.28666666666666
2014-10-01,78570.83239726326,129.25
2015-01-01,65579.74875061514,123.75333333333333
2015-04-01,69805.1800505582,119.49333333333334
2015-07-01,68001.3835497084,112.96333333333332
2015-10-01,68501.50014911826,113.28666666666668
2016-01-01,71997.75592934848,106.74333333333334
2016-04-01,70425.85520960913,104.00666666666666
2016-07-01,61595.16999100166,100.77
2016-10-01,59605.937620040735,98.0
2017-01-01,61610.18600764285,98.07666666666667
2017-04-01,63057.17057466039,106.73666666666668
2017-07-01,70051.87807848919,110.11666666666667
2017-10-01,96739.73408920756,104.90333333333335
2018-01-01,66666.42591051957,105.30666666666667
2018-04-01,82313.2295136089,102.02666666666666
2018-07-01,82790.21735781532,107.24
2018-10-01,84288.25221805622,105.00333333333333
2019-01-01,87454.05271288833,108.55
2019-04-01,81424.41247210802,108.56666666666666
2019-07-01,78116.85529364677,107.57
2019-10-01,86356.55452135687,109.57666666666667
2020-01-01,76065.11233735719,107.27
2020-04-01,52687.08374392201,92.68333333333334
2020-07-01,73644.33589064334,96.78333333333332
2020-10-01,88210.99927807745,103.26666666666667
2021-01-01,80908.01915521488,104.23666666666668
2021-04-01,86617.19795275356,106.28333333333335
2021-07-01,82956.346385507,107.18333333333334
2021-10-01,92277.18650652458,104.89333333333333
2022-01-01,90130.00081184744,106.72666666666667
2022-04-01,99453.90603406104,111.35666666666667
2022-07-01,99766.683701819,113.89999999999999
2022-10-01,107493.06570227252,119.7
