Time,Wald_F_Statistic
1999-Q1,49.42961674787076
1999-Q2,54.689245013141075
1999-Q3,58.74375524880697
1999-Q4,62.5179148064968
2000-Q1,65.91517060537478
2000-Q2,69.13756263138818
2000-Q3,72.3995466173074
2000-Q4,76.29353213331157
2001-Q1,80.31114691818924
2001-Q2,85.91964516554252
2001-Q3,90.94480213211487
2001-Q4,96.58642689532148
2002-Q1,102.37778224021413
2002-Q2,110.16006168666779
2002-Q3,115.23932304210729
2002-Q4,122.40200962480426
2003-Q1,129.63468134593037
2003-Q2,139.9511483838798
2003-Q3,149.72089072490164
2003-Q4,162.67913598767387
2004-Q1,174.85001733847815
2004-Q2,185.3366605443357
2004-Q3,192.96563743550104
2004-Q4,205.83008115263246
2005-Q1,217.8491443085926
2005-Q2,233.17684915076987
2005-Q3,242.09038819881584
2005-Q4,253.80856420005986
2006-Q1,251.3535735846273
2006-Q2,266.08094751505877
2006-Q3,266.0450547346408
2006-Q4,265.7263308741542
2007-Q1,257.10246502440924
2007-Q2,250.27898674916605
2007-Q3,238.55505161629893
2007-Q4,238.36302067248155
2008-Q1,245.14707228185432
2008-Q2,237.08452734667281
2008-Q3,235.58598910766264
2008-Q4,240.3886520310409
2009-Q1,229.1922122339578
2009-Q2,259.3489402153369
2009-Q3,280.14467212429753
2009-Q4,290.76145604715146
2010-Q1,283.33590831493854
2010-Q2,292.29728599274966
2010-Q3,289.7067959032339
2010-Q4,289.752668464545
2011-Q1,280.95603915157255
2011-Q2,273.84532183411727
2011-Q3,260.3158227439497
2011-Q4,247.2747895020497
2012-Q1,226.63964763052593
2012-Q2,218.2172815347211
2012-Q3,205.2684336982483
2012-Q4,194.674740315134
2013-Q1,178.5397954201311
2013-Q2,171.3988295271658
2013-Q3,160.39738986912684
2013-Q4,153.3798497574675
2014-Q1,143.84242408527834
2014-Q2,136.1155694721946
2014-Q3,126.74505544749321
2014-Q4,119.6830268909374
2015-Q1,109.42919349448518
2015-Q2,106.56379668111228
2015-Q3,101.88483122119362
2015-Q4,98.39265683417999
2016-Q1,94.93960536198692
2016-Q2,90.22860766909605
2016-Q3,86.51587417191183
2016-Q4,86.70563318415734
2017-Q1,87.971663186369
2017-Q2,88.6308571845939
2017-Q3,88.9027616561676
2017-Q4,86.25394960106242
2018-Q1,72.97266140567596
2018-Q2,72.22097228187157
2018-Q3,65.917774634824
