Month,GSCPI
1998-01,-1.1015301642448057
1998-02,-0.43617031542893936
1998-03,-0.05006568845625184
1998-04,-0.11184325560720146
1998-05,-0.42584751383021113
1998-06,-0.7466700120322463
1998-07,-0.9269443360850029
1998-08,-0.9065279156950766
1998-09,-0.9146488425833204
1998-10,-0.6827023004243739
1998-11,-0.8656641925020707
1998-12,-0.6147683195754039
1999-01,-0.27904903328179725
1999-02,0.002026630561592402
1999-03,-0.2774412746909577
1999-04,-0.2130164009113138
1999-05,-0.3544127553617587
1999-06,-0.3676366849958858
1999-07,-0.6203700146401392
1999-08,-0.45160994521823755
1999-09,-0.3906346620127848
1999-10,-0.11974469955125604
1999-11,-0.1667570858383597
1999-12,-0.20608595344690947
2000-01,-0.6171356170058285
2000-02,-0.42300311601790164
2000-03,-0.28114141588345115
2000-04,0.12705524459718315
2000-05,0.28151228724259125
2000-06,0.0435167129662301
2000-07,-0.015869874981165735
2000-08,0.08743640583890946
2000-09,0.04503380428508711
2000-10,-0.526568382816282
2000-11,-0.7417826214017357
2000-12,-0.9268678987646702
2001-01,-0.9232320327873631
2001-02,-0.776442219724513
2001-03,-0.5831561215068664
2001-04,-1.0020432056705337
2001-05,-1.119861806966222
2001-06,-0.6946482225850958
2001-07,-0.8349659535430118
2001-08,-0.7877880228081635
2001-09,-0.6745244094834457
2001-10,-1.2183865595312449
2001-11,-1.4433891949854651
2001-12,-1.1623601709439157
2002-01,-0.9247996527772634
2002-02,-0.4731057852001271
2002-03,-0.4359701175575618
2002-04,-0.5900121400346232
2002-05,-0.3077089254288682
2002-06,-0.6244873529863603
2002-07,-0.943964526818441
2002-08,-1.0846414497884669
2002-09,-1.137068248891692
2002-10,-1.2477890924519968
2002-11,-0.7535430877617834
2002-12,-0.6924869076857462
2003-01,-0.6321250120114427
2003-02,-0.3089455026054462
2003-03,-0.33115124592651685
2003-04,-0.5636398285907284
2003-05,-0.19943009211630638
2003-06,-0.1221434318849621
2003-07,-0.0018349982239855955
2003-08,-0.07393326365384345
2003-09,0.05615307576838429
2003-10,-0.2776732143288667
2003-11,-0.4179250016978035
2003-12,-0.37021531978733446
2004-01,-0.5069899678235827
2004-02,-0.38183619859075857
2004-03,-0.013715658954869843
2004-04,0.404019707457029
2004-05,0.3514915415047519
2004-06,0.4081592489740177
2004-07,-0.46679252366823826
2004-08,0.07117480446291924
2004-09,-0.02348714537880234
2004-10,-0.6220488167979025
2004-11,-0.06728460388250983
2004-12,0.0918238263338631
2005-01,-0.1297145598537484
2005-02,-0.13870192718412874
2005-03,-0.2831187810399104
2005-04,-1.3323334812734384
2005-05,-0.9931889553141151
2005-06,-0.9431127405732314
2005-07,-0.8977849663752783
2005-08,-0.5150469915519207
2005-09,0.06177282335348099
2005-10,-0.08512643694468457
2005-11,-0.657125028437722
2005-12,-0.7193651708037665
2006-01,-0.3772494506461924
2006-02,-0.7404717736381722
2006-03,-0.3796552926830556
2006-04,0.09773993289884962
2006-05,0.10250750899633702
2006-06,0.15176945157123375
2006-07,-0.0986313052880709
2006-08,0.06620305422601261
2006-09,-0.6426536030666756
2006-10,-0.5156825929687016
2006-11,-0.23494779886512412
2006-12,-0.46482808131665454
2007-01,-0.8800339505414219
2007-02,-0.7145792057062179
2007-03,-0.5895540101971689
2007-04,-0.8302109365549297
2007-05,-0.41763209746433394
2007-06,-0.3786827866925976
2007-07,-0.43915002341401765
2007-08,-0.11264639754137579
2007-09,-0.042428807560074625
2007-10,-0.6183053220583293
2007-11,-0.4935393947814716
2007-12,-0.15417915087381232
2008-01,-0.38141486205195946
2008-02,0.45443770206955947
2008-03,0.14792863940302234
2008-04,0.13081178153938403
2008-05,-0.12279181983255312
2008-06,0.2726309345991934
2008-07,1.0004987414863975
2008-08,0.279995908172189
2008-09,-0.5313102199117363
2008-10,-0.9827795313724454
2008-11,-1.5214094578835733
2008-12,-0.6867119460681447
2009-01,-0.4098019640154011
2009-02,-0.4495985558851413
2009-03,0.16786628722560862
2009-04,0.8251704281541091
2009-05,0.3227180476274134
2009-06,-0.5201492892538067
2009-07,-0.7619041809059359
2009-08,-1.1448545554289542
2009-09,-0.5067326580483106
2009-10,-0.4701209444506338
2009-11,-0.8027847149039055
2009-12,-0.6299627196645882
2010-01,-0.3299203296963833
2010-02,-0.1658140225298908
2010-03,0.348442785292446
2010-04,0.2775608145954005
2010-05,0.42433952452689266
2010-06,-0.03778830526175239
2010-07,-0.0493066885275916
2010-08,0.3059692141126942
2010-09,0.3617990011416754
2010-10,0.6761663868224044
2010-11,0.4391064294986924
2010-12,0.6918534937138612
2011-01,0.7550203584910098
2011-02,0.3535242854994986
2011-03,0.735448644082973
2011-04,1.6020279868218446
2011-05,0.9279741882914135
2011-06,0.20404829001644442
2011-07,0.2829712650129384
2011-08,-0.10535316780778568
2011-09,-0.5494853479001379
2011-10,-0.3848195774574865
2011-11,0.1406098066349976
2011-12,-0.04795576805306915
2012-01,0.37725304557599043
2012-02,0.004139184809393481
2012-03,-0.3738068241551226
2012-04,-0.3267565889870631
2012-05,-0.6778416900837932
2012-06,-0.7051649616031669
2012-07,-0.6827498027716755
2012-08,-0.1428036607029856
2012-09,-0.2621052775010136
2012-10,-0.011849327677514322
2012-11,-0.3594243725495208
2012-12,-0.1540999739196837
2013-01,-0.06199673022365473
2013-02,-0.38210906657485194
2013-03,-0.5510137650051598
2013-04,-0.7364778934154711
2013-05,-0.8693261227000599
2013-06,-0.6753196893014602
2013-07,-0.6621012392442007
2013-08,-0.5803426404065385
2013-09,-0.29063121108358514
2013-10,-0.19672623740252163
2013-11,-0.7033930461747626
2013-12,-0.5034720025765219
2014-01,-0.6480432643621534
2014-02,-0.28696228621756187
2014-03,-0.6296170134806915
2014-04,-0.8239137764661949
2014-05,-0.841459249894546
2014-06,-0.7022628012657349
2014-07,-0.8245479012774046
2014-08,-0.6399228136509622
2014-09,-0.821060828487359
2014-10,-0.6034696080653352
2014-11,-0.9797119925435434
2014-12,-0.40827623452432554
2015-01,-0.5214374759941036
2015-02,-0.3278960699118255
2015-03,-0.3963046814448671
2015-04,-0.36543924871435096
2015-05,-0.5608535777616632
2015-06,-0.8736564775531798
2015-07,-0.424207519367686
2015-08,-0.6913952209929503
2015-09,-0.40481603166112035
2015-10,-0.25303811521537234
2015-11,-0.6518364436031716
2015-12,-0.6146864526512206
2016-01,-0.8062421685869569
2016-02,-0.7585451665036511
2016-03,-0.6637793397380366
2016-04,-0.278259358644854
2016-05,-0.7214056719103343
2016-06,-0.2945871024408138
2016-07,-0.1752591360876275
2016-08,0.08568612223489515
2016-09,-0.29785511089497096
2016-10,-0.06566746101718687
2016-11,-0.3178411809007641
2016-12,-0.23198829891039227
2017-01,0.16016375577923955
2017-02,0.14452687321225527
2017-03,0.0739615128927107
2017-04,0.006075919116702517
2017-05,-0.15179844947089458
2017-06,0.083604222176526
2017-07,0.08413962350063037
2017-08,0.38557978442029245
2017-09,0.5456421662809159
2017-10,0.7863660346513252
2017-11,0.8046970749456354
2017-12,0.6792776013735117
2018-01,0.5798150064957962
2018-02,0.05782115642943494
2018-03,0.432940427749301
2018-04,0.5111970487550115
2018-05,0.375299396565414
2018-06,0.42857576915045187
